fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,total SO2,density,pH,sulphates,alcohol,quality
7.5,0.28,0.34,4.2,0.028,116.0,0.991,2.99,0.41,12.0,8
6.0,0.26,0.42,5.2,0.027,178.0,0.9914,3.4,0.4,12.0,8
6.9,0.28,0.3,8.3,0.026,113.0,0.99139,2.99,0.38,12.0,8
7.7,0.4,0.27,4.5,0.034,95.0,0.99175,3.21,0.59,12.0,8
6.9,0.33,0.31,7.7,0.04,135.0,0.99226,3.11,0.57,12.0,5
6.8,0.32,0.32,8.7,0.029,105.0,0.99146,3.0,0.34,12.0,7
7.6,0.2,0.26,4.8,0.033,76.0,0.99076,2.98,0.49,12.0,7
7.1,0.34,0.31,5.2,0.032,140.0,0.99166,3.35,0.47,12.0,7
6.6,0.24,0.28,6.7,0.032,91.0,0.99172,3.13,0.32,12.0,6
5.7,0.18,0.26,2.2,0.023,95.0,0.9893,3.07,0.54,12.0,6
8.0,0.34,0.49,9.0,0.033,180.0,0.9936,3.13,0.38,12.0,8
7.1,0.25,0.49,3.0,0.03,96.0,0.9903,3.13,0.39,12.0,7
6.8,0.43,0.26,5.2,0.043,176.0,0.99116,3.17,0.41,12.0,6
8.0,0.28,0.3,8.4,0.03,115.0,0.99192,2.93,0.42,12.0,6
6.9,0.29,0.3,8.2,0.026,112.0,0.99144,3.0,0.37,12.0,6
6.0,0.26,0.32,3.5,0.028,113.0,0.9912,3.4,0.71,12.0,7
5.8,0.27,0.22,12.7,0.058,206.0,0.9946,3.32,0.38,12.0,6
6.8,0.29,0.22,3.4,0.035,122.0,0.99024,3.09,0.47,12.0,6
6.6,0.34,0.24,3.3,0.034,99.0,0.99031,3.1,0.4,12.0,7
7.2,0.23,0.39,2.3,0.033,102.0,0.9908,3.26,0.54,12.0,7
6.9,0.34,0.3,4.7,0.029,148.0,0.99165,3.36,0.49,12.0,7
7.6,0.29,0.49,9.6,0.03,197.0,0.9938,3.13,0.38,12.0,7
7.2,0.23,0.39,2.3,0.033,102.0,0.9908,3.26,0.54,12.0,7
7.7,0.43,0.28,4.5,0.046,102.0,0.9918,3.16,0.56,12.0,7
8.0,0.3,0.36,11.0,0.034,70.0,0.99354,3.05,0.41,12.0,6
7.7,0.27,0.35,5.3,0.03,117.0,0.992,3.11,0.42,12.0,6
7.0,0.32,0.29,4.9,0.036,150.0,0.99168,3.38,0.43,12.0,6
6.9,0.2,0.37,6.2,0.027,97.0,0.992,3.38,0.49,12.0,7
5.9,0.435,0.16,6.4,0.031,134.0,0.99151,3.24,0.46,12.0,6
6.4,0.3,0.27,5.0,0.058,151.0,0.99198,3.22,0.49,12.0,6
5.5,0.18,0.22,5.5,0.037,86.0,0.99156,3.46,0.44,12.0,5
6.7,0.45,0.3,5.3,0.036,165.0,0.99122,3.12,0.46,12.0,6
7.0,0.46,0.39,6.2,0.039,163.0,0.9928,3.21,0.35,12.0,7
7.7,0.39,0.28,4.9,0.035,109.0,0.9918,3.19,0.58,12.0,7
5.1,0.3,0.3,2.3,0.048,150.0,0.98944,3.29,0.46,12.0,6
6.8,0.33,0.31,7.4,0.045,143.0,0.99226,3.06,0.55,12.0,6
6.8,0.33,0.31,7.4,0.045,143.0,0.99226,3.06,0.55,12.0,6
6.8,0.25,0.34,14.0,0.032,133.0,0.9952,3.37,0.5,12.0,7
7.2,0.33,0.22,4.5,0.031,73.0,0.99076,2.97,0.52,12.0,7
7.1,0.28,0.49,6.5,0.041,111.0,0.9926,3.41,0.58,12.0,8
7.0,0.24,0.34,3.0,0.035,102.0,0.9905,3.18,0.43,12.0,6
5.2,0.38,0.26,7.7,0.053,103.0,0.9925,3.27,0.45,12.0,6
7.1,0.28,0.28,8.5,0.03,191.0,0.99338,3.16,0.46,12.0,7
6.5,0.33,0.28,6.1,0.018,103.0,0.99122,3.24,0.32,12.0,6
7.1,0.25,0.39,2.1,0.036,124.0,0.9908,3.28,0.43,12.0,8
6.4,0.3,0.27,4.4,0.055,135.0,0.9925,3.23,0.44,12.0,6
6.9,0.48,0.36,3.5,0.03,135.0,0.9904,3.14,0.38,12.0,7
5.3,0.32,0.23,9.65,0.026,119.0,0.99168,3.18,0.53,12.0,6
6.9,0.44,0.27,5.0,0.038,166.0,0.99124,3.2,0.42,12.0,6
6.7,0.36,0.26,7.9,0.034,123.0,0.99119,2.99,0.3,12.0,7
6.5,0.33,0.28,6.1,0.018,103.0,0.99122,3.24,0.32,12.0,6
6.1,0.34,0.27,2.6,0.024,105.0,0.9906,3.4,0.67,12.0,7
6.8,0.25,0.37,3.1,0.026,93.0,0.99035,3.14,0.45,12.0,6
7.7,0.39,0.28,4.9,0.035,109.0,0.9918,3.19,0.58,12.0,7
4.8,0.21,0.21,10.2,0.037,112.0,0.99324,3.66,0.48,12.0,7
7.0,0.32,0.31,6.4,0.031,115.0,0.99235,3.38,0.58,12.0,7
8.0,0.34,0.25,6.4,0.035,103.0,0.99148,2.91,0.23,12.0,6
5.8,0.32,0.31,2.7,0.049,153.0,0.99067,3.44,0.73,12.0,7
7.0,0.32,0.31,6.4,0.031,115.0,0.99235,3.38,0.58,12.0,7
6.6,0.23,0.3,4.6,0.06,154.0,0.99142,3.23,0.49,12.0,8
6.7,0.33,0.36,6.6,0.042,116.0,0.99123,2.97,0.31,12.0,8
5.4,0.33,0.31,4.0,0.03,108.0,0.99031,3.3,0.43,12.0,7
6.5,0.28,0.25,4.8,0.029,128.0,0.99074,3.17,0.44,12.0,7
5.8,0.32,0.31,2.7,0.049,153.0,0.99067,3.44,0.73,12.0,7
7.0,0.36,0.3,5.0,0.04,143.0,0.99173,3.33,0.42,12.0,7
8.0,0.33,0.32,4.6,0.041,180.0,0.99184,2.92,0.74,12.0,6
7.0,0.19,0.33,6.3,0.032,127.0,0.99182,3.31,0.38,12.0,6
7.0,0.18,0.49,5.3,0.04,125.0,0.9914,3.24,0.4,12.0,6
6.7,0.34,0.4,2.1,0.033,111.0,0.98924,2.97,0.48,12.0,7
6.7,0.28,0.42,3.5,0.035,105.0,0.99021,3.18,0.38,12.0,6
8.0,0.4,0.33,7.7,0.034,98.0,0.9935,3.18,0.41,12.0,7
6.2,0.21,0.28,5.7,0.028,121.0,0.99168,3.21,1.08,12.0,7
6.0,0.26,0.26,2.2,0.035,72.0,0.989465,3.11,0.48,12.0,6
7.8,0.26,0.31,3.6,0.025,100.0,0.99066,2.99,0.47,12.0,7
6.6,0.26,0.28,9.4,0.028,121.0,0.99254,3.17,0.34,12.0,6
7.1,0.28,0.35,3.5,0.028,91.0,0.99022,2.96,0.33,12.0,5
6.6,0.15,0.32,6.0,0.033,128.0,0.99192,3.19,0.71,12.0,8
5.8,0.23,0.31,3.5,0.044,158.0,0.98998,3.19,0.37,12.0,7
7.6,0.32,0.25,9.5,0.03,136.0,0.99367,3.1,0.44,12.0,6
6.3,0.28,0.34,8.1,0.038,129.0,0.99248,3.26,0.29,12.0,6
8.9,0.24,0.33,15.75,0.035,132.0,0.996,3.0,0.37,12.0,6
6.5,0.36,0.49,2.9,0.03,94.0,0.9902,3.1,0.49,12.0,7
6.0,0.32,0.33,9.9,0.032,90.0,0.99258,3.1,0.43,12.0,7
6.5,0.22,0.28,3.7,0.059,151.0,0.99177,3.23,0.41,12.0,7
8.0,0.37,0.31,4.7,0.038,127.0,0.99186,2.9,0.72,12.0,5
6.5,0.28,0.34,3.6,0.04,121.0,0.99111,3.28,0.48,12.0,7
7.2,0.26,0.3,2.1,0.033,158.0,0.9909,3.33,0.43,12.0,7
7.1,0.38,0.29,13.6,0.041,137.0,0.99461,3.02,0.96,12.0,6
5.7,0.22,0.29,3.5,0.04,146.0,0.98999,3.17,0.36,12.0,6
5.9,0.12,0.27,4.8,0.03,110.0,0.99226,3.55,0.68,12.0,6
6.4,0.225,0.48,2.2,0.115,104.0,0.9918,3.24,0.58,12.0,6
6.5,0.28,0.34,3.6,0.04,121.0,0.99111,3.28,0.48,12.0,7
6.6,0.15,0.32,6.0,0.033,128.0,0.99192,3.19,0.71,12.0,8
5.6,0.28,0.4,6.1,0.034,118.0,0.99144,3.21,0.43,12.0,7
6.6,0.39,0.28,9.2,0.036,92.0,0.99206,3.07,0.35,12.0,6
7.0,0.23,0.36,7.1,0.028,104.0,0.9922,3.35,0.47,12.0,8
6.5,0.36,0.38,10.2,0.028,82.0,0.99274,3.1,0.43,12.0,7
6.8,0.32,0.39,9.6,0.026,124.0,0.99286,3.18,0.35,12.0,6
6.2,0.35,0.29,3.9,0.041,79.0,0.99005,3.1,0.59,12.0,6
7.4,0.49,0.24,15.1,0.03,153.0,0.9953,3.13,0.51,12.0,7
6.4,0.2,0.32,3.1,0.041,126.0,0.9914,3.43,0.42,12.0,6
8.5,0.25,0.27,4.7,0.031,92.0,0.9922,3.01,0.33,12.0,6
6.8,0.3,0.35,2.8,0.038,164.0,0.9912,3.09,0.53,12.0,6
6.8,0.39,0.34,7.4,0.02,133.0,0.99212,3.18,0.44,12.0,7
7.6,0.33,0.35,6.3,0.036,126.0,0.9924,3.16,0.39,12.0,7
7.3,0.2,0.39,2.3,0.048,87.0,0.99044,2.94,0.35,12.0,6
7.4,0.49,0.24,15.1,0.03,153.0,0.9953,3.13,0.51,12.0,7
7.1,0.47,0.29,14.8,0.024,142.0,0.99518,3.12,0.48,12.0,8
7.3,0.2,0.39,2.3,0.048,87.0,0.99044,2.94,0.35,12.0,6
7.1,0.47,0.29,14.8,0.024,142.0,0.99518,3.12,0.48,12.0,8
6.7,0.27,0.3,13.9,0.029,131.0,0.9953,3.36,0.5,12.0,7
6.8,0.3,0.35,2.8,0.038,164.0,0.9912,3.09,0.53,12.0,6
6.5,0.4,0.31,3.5,0.046,147.0,0.99024,3.15,0.31,12.0,7
6.4,0.125,0.29,5.85,0.042,99.0,0.992,3.23,0.32,12.0,7
6.5,0.32,0.34,5.7,0.044,91.0,0.99184,3.28,0.6,12.0,7
6.8,0.26,0.34,13.9,0.034,134.0,0.9949,3.33,0.53,12.0,6
8.0,0.32,0.36,4.6,0.042,178.0,0.9928,3.29,0.47,12.0,6
7.0,0.22,0.26,2.8,0.036,132.0,0.99078,3.34,0.41,12.0,7
6.8,0.35,0.32,2.4,0.048,103.0,0.9911,3.28,0.46,12.0,8
8.5,0.25,0.27,4.7,0.031,92.0,0.9922,3.01,0.33,12.0,6
8.2,0.3,0.44,12.4,0.043,154.0,0.99452,3.04,0.33,12.0,6
6.3,0.34,0.33,4.6,0.034,80.0,0.9917,3.38,0.58,12.0,7
6.5,0.29,0.32,3.0,0.036,93.0,0.9906,3.16,0.59,12.0,6
6.5,0.43,0.31,3.6,0.046,143.0,0.99022,3.15,0.34,12.0,8
7.0,0.31,0.31,9.1,0.036,140.0,0.99216,2.98,0.31,12.0,7
6.0,0.19,0.37,9.7,0.032,50.0,0.9932,3.08,0.66,12.0,6
7.0,0.31,0.31,9.1,0.036,140.0,0.99216,2.98,0.31,12.0,7
6.6,0.35,0.34,4.9,0.032,125.0,0.99253,3.32,0.81,12.0,5
6.5,0.2,0.31,2.1,0.033,95.0,0.989435,2.96,0.61,12.0,6
6.7,0.24,0.41,2.9,0.039,122.0,0.99052,3.25,0.43,12.0,5
6.8,0.46,0.26,2.7,0.042,83.0,0.99114,3.38,0.51,12.0,8
8.6,0.36,0.26,11.1,0.03,171.0,0.9948,3.03,0.49,12.0,5
6.1,0.35,0.24,2.3,0.034,133.0,0.9906,3.34,0.59,12.0,7
6.2,0.36,0.38,3.2,0.031,89.0,0.98956,3.06,0.33,12.0,7
8.3,0.26,0.41,9.2,0.042,162.0,0.9944,3.1,0.38,12.0,7
6.15,0.21,0.37,3.2,0.021,80.0,0.99076,3.39,0.47,12.0,5
7.7,0.28,0.39,8.9,0.036,117.0,0.9935,3.06,0.38,12.0,7
6.2,0.25,0.31,3.2,0.03,150.0,0.99014,3.18,0.31,12.0,6
6.15,0.21,0.37,3.2,0.021,80.0,0.99076,3.39,0.47,12.0,5
7.5,0.26,0.3,4.6,0.027,92.0,0.99085,3.15,0.38,12.0,7
6.8,0.39,0.34,7.4,0.02,133.0,0.99212,3.18,0.44,12.0,7
8.2,0.36,0.29,7.6,0.035,122.0,0.9939,3.16,0.34,12.0,5
6.8,0.21,0.4,6.3,0.032,121.0,0.99214,3.18,0.53,12.0,7
7.7,0.31,0.36,4.3,0.026,87.0,0.99152,3.11,0.48,12.0,5
6.0,0.26,0.32,3.8,0.029,180.0,0.99011,3.15,0.34,12.0,6
6.5,0.28,0.34,4.6,0.054,130.0,0.99193,3.2,0.46,12.0,7
8.4,0.23,0.49,7.8,0.035,95.0,0.9935,3.04,0.34,12.0,6
7.5,0.34,0.35,6.0,0.034,126.0,0.9924,3.16,0.39,12.0,7
6.8,0.43,0.3,3.5,0.033,135.0,0.9906,3.0,0.37,12.0,6
5.9,0.34,0.3,3.8,0.035,135.0,0.99016,3.09,0.34,12.0,6
7.9,0.37,0.3,2.7,0.029,158.0,0.9916,3.12,0.59,12.0,7
6.7,0.31,0.31,4.9,0.031,151.0,0.9926,3.36,0.82,12.0,7
8.2,0.3,0.44,12.4,0.043,154.0,0.99452,3.04,0.33,12.0,6
6.9,0.38,0.32,8.5,0.044,152.0,0.9932,3.38,0.35,12.0,7
6.8,0.39,0.34,7.4,0.02,133.0,0.99212,3.18,0.44,12.0,7
6.8,0.34,0.36,8.9,0.029,128.0,0.99318,3.28,0.35,12.0,7
6.3,0.41,0.22,7.3,0.035,117.0,0.99172,3.2,0.39,12.0,7
6.3,0.41,0.22,7.3,0.035,117.0,0.99172,3.2,0.39,12.0,7
6.9,0.12,0.36,2.2,0.037,111.0,0.9919,3.41,0.82,12.0,8
8.3,0.16,0.37,7.9,0.025,107.0,0.99306,2.93,0.37,12.0,6
6.3,0.34,0.27,2.5,0.024,152.0,0.99095,3.35,0.6,12.0,7
6.5,0.22,0.32,2.2,0.028,92.0,0.99076,3.27,0.59,12.0,7
7.7,0.17,0.52,5.9,0.017,84.0,0.9929,3.14,0.4,12.0,7
7.3,0.25,0.36,2.1,0.034,177.0,0.99085,3.25,0.4,12.0,8
8.3,0.16,0.37,7.9,0.025,107.0,0.99306,2.93,0.37,12.0,6
6.5,0.22,0.32,2.2,0.028,92.0,0.99076,3.27,0.59,12.0,7
6.2,0.2,0.29,11.8,0.035,93.0,0.99364,3.18,0.34,12.0,6
8.2,0.35,0.4,6.3,0.039,162.0,0.9936,3.15,0.34,12.0,7
5.7,0.36,0.34,4.2,0.026,77.0,0.9907,3.41,0.45,12.0,6
6.3,0.31,0.3,10.0,0.046,212.0,0.9962,3.74,0.55,12.0,6
7.8,0.3,0.36,4.6,0.024,198.0,0.99222,3.06,0.66,12.0,6
7.3,0.25,0.36,2.1,0.034,177.0,0.99085,3.25,0.4,12.0,8
5.8,0.15,0.31,5.9,0.036,73.0,0.99152,3.2,0.43,12.0,6
8.4,0.24,0.49,7.4,0.039,108.0,0.9934,3.03,0.33,12.0,7
7.0,0.25,0.45,2.3,0.045,118.0,0.99064,3.16,0.48,12.0,7
6.8,0.22,0.31,6.9,0.037,121.0,0.99176,3.02,0.39,12.0,8
6.7,0.24,0.46,2.2,0.033,111.0,0.99045,3.1,0.62,12.0,6
7.3,0.33,0.4,6.85,0.038,138.0,0.992,3.03,0.3,12.0,7
7.3,0.33,0.4,6.85,0.038,138.0,0.992,3.03,0.3,12.0,7
6.7,0.28,0.28,4.5,0.051,92.0,0.99224,3.36,0.58,12.0,6
7.1,0.12,0.3,3.1,0.018,37.0,0.99004,3.02,0.52,12.0,7
7.1,0.12,0.3,3.1,0.018,37.0,0.99004,3.02,0.52,12.0,7
7.3,0.25,0.36,2.1,0.034,177.0,0.99085,3.25,0.4,12.0,8
8.3,0.24,0.27,2.1,0.03,162.0,0.9914,2.99,0.68,12.0,6
6.4,0.31,0.5,5.8,0.038,111.0,0.99189,3.18,0.53,12.0,7
7.0,0.25,0.45,2.3,0.045,118.0,0.99064,3.16,0.48,12.0,7
7.9,0.37,0.31,2.85,0.037,24.0,0.9911,3.19,0.36,12.0,6
6.0,0.34,0.32,3.8,0.044,116.0,0.99108,3.39,0.44,12.0,7
6.6,0.22,0.36,5.5,0.029,105.0,0.99206,3.2,0.47,12.0,6
7.4,0.33,0.26,2.6,0.04,115.0,0.9913,3.07,0.52,12.0,7
5.9,0.27,0.27,5.0,0.035,97.0,0.99058,3.1,0.33,12.0,7
7.9,0.25,0.29,5.3,0.031,117.0,0.9918,3.06,0.32,12.0,7
7.1,0.44,0.27,8.4,0.057,160.0,0.99257,3.16,0.36,12.0,6
6.3,0.17,0.42,2.8,0.028,107.0,0.9908,3.27,0.43,12.0,6
5.7,0.32,0.38,4.75,0.033,94.0,0.991,3.42,0.42,12.0,7
7.1,0.44,0.27,8.4,0.057,160.0,0.99257,3.16,0.36,12.0,6
5.8,0.32,0.38,4.75,0.033,94.0,0.991,3.42,0.42,12.0,7
7.2,0.21,0.28,2.7,0.033,94.0,0.99075,2.99,0.43,12.0,7
6.2,0.3,0.3,2.5,0.041,82.0,0.99065,3.31,0.61,12.0,7
7.0,0.3,0.32,6.4,0.034,97.0,0.9924,3.23,0.44,12.0,6
5.8,0.32,0.38,4.75,0.033,94.0,0.991,3.42,0.42,12.0,7
7.0,0.24,0.3,4.2,0.04,213.0,0.9927,3.28,0.49,12.0,6
6.0,0.28,0.52,6.2,0.028,104.0,0.99161,3.28,0.51,12.0,7
6.0,0.28,0.52,6.2,0.028,104.0,0.99161,3.28,0.51,12.0,7
8.8,0.39,0.34,5.9,0.055,128.0,0.9927,2.95,0.51,12.0,6
5.9,0.2,0.28,12.8,0.038,132.0,0.99426,3.31,0.57,12.0,7
6.5,0.2,0.35,3.9,0.04,140.0,0.99102,2.98,0.53,12.0,6
6.8,0.24,0.34,5.1,0.038,99.0,0.9921,3.24,0.46,12.0,6
6.1,0.34,0.29,2.2,0.036,100.0,0.98938,3.06,0.44,12.0,6
8.0,0.2,0.3,8.1,0.037,130.0,0.99379,3.1,0.67,12.0,6
5.3,0.3,0.16,4.2,0.029,100.0,0.9905,3.3,0.36,12.0,8
8.1,0.24,0.32,10.5,0.03,105.0,0.99407,3.11,0.42,12.0,6
6.3,0.24,0.35,2.3,0.039,109.0,0.99056,3.34,0.44,12.0,6
8.4,0.32,0.35,11.7,0.029,46.0,0.99439,3.02,0.34,12.0,6
5.0,0.33,0.23,11.8,0.03,158.0,0.99322,3.41,0.64,12.0,6
6.5,0.19,0.27,4.9,0.037,101.0,0.9916,3.17,0.41,12.0,6
7.0,0.24,0.3,4.2,0.04,213.0,0.9927,3.28,0.49,12.0,6
7.4,0.21,0.27,7.3,0.031,144.0,0.9932,3.15,0.38,12.0,7
5.3,0.4,0.25,3.9,0.031,130.0,0.99072,3.31,0.58,12.0,7
6.7,0.41,0.27,2.6,0.033,85.0,0.99086,3.05,0.34,12.0,6
6.7,0.28,0.28,2.4,0.012,100.0,0.99064,3.26,0.39,12.0,7
6.8,0.3,0.27,11.6,0.028,97.0,0.99314,2.96,0.38,12.0,6
6.8,0.3,0.27,11.6,0.028,97.0,0.99314,2.96,0.38,12.0,6
8.4,0.18,0.42,5.1,0.036,77.0,0.9939,3.16,0.52,12.0,5
6.7,0.37,0.25,2.5,0.028,84.0,0.9909,3.14,0.36,12.0,6
6.1,0.31,0.37,8.4,0.031,170.0,0.9934,3.42,0.4,12.0,8
5.3,0.31,0.38,10.5,0.031,140.0,0.99321,3.34,0.46,12.0,6
7.2,0.23,0.46,6.4,0.036,85.0,0.99279,3.1,0.78,12.0,6
7.9,0.3,0.27,8.5,0.036,112.0,0.9939,2.96,0.46,12.0,6
7.0,0.36,0.32,10.05,0.045,131.0,0.99352,3.09,0.33,12.0,8
6.4,0.24,0.31,2.8,0.038,114.0,0.99155,3.37,0.66,12.0,7
5.7,0.31,0.28,4.1,0.03,86.0,0.99062,3.31,0.38,12.0,7
5.8,0.13,0.22,12.7,0.058,183.0,0.9956,3.32,0.42,12.0,6
5.0,0.24,0.21,2.2,0.039,100.0,0.99098,3.69,0.62,12.0,6
7.8,0.32,0.33,2.4,0.037,101.0,0.9912,3.21,0.65,12.0,7
5.8,0.13,0.22,12.7,0.058,183.0,0.9956,3.32,0.42,12.0,6
5.3,0.31,0.38,10.5,0.031,140.0,0.99321,3.34,0.46,12.0,6
7.2,0.34,0.34,12.6,0.048,41.0,0.9942,3.19,0.4,12.0,5
7.0,0.36,0.32,10.05,0.045,131.0,0.99352,3.09,0.33,12.0,8
6.7,0.37,0.25,2.5,0.028,84.0,0.9909,3.14,0.36,12.0,6
8.4,0.18,0.42,5.1,0.036,77.0,0.9939,3.16,0.52,12.0,5
6.9,0.25,0.29,2.4,0.038,76.0,0.99088,3.01,0.36,12.0,7
6.3,0.41,0.3,3.2,0.03,164.0,0.9927,3.53,0.79,12.0,7
6.3,0.41,0.3,3.2,0.03,164.0,0.9927,3.53,0.79,12.0,7
6.7,0.41,0.27,2.6,0.033,85.0,0.99086,3.05,0.34,12.0,6
5.8,0.3,0.33,3.5,0.033,116.0,0.99057,3.2,0.44,12.0,6
6.4,0.19,0.42,2.9,0.032,83.0,0.9908,3.3,0.41,12.0,6
5.8,0.35,0.29,3.2,0.034,151.0,0.9912,3.35,0.58,12.0,7
5.6,0.35,0.4,6.3,0.022,174.0,0.9922,3.54,0.5,12.0,7
6.3,0.22,0.28,2.4,0.042,102.0,0.98998,3.14,0.37,12.0,7
7.1,0.39,0.35,12.5,0.044,72.0,0.9941,3.17,0.29,12.0,5
7.7,0.27,0.49,3.8,0.037,139.0,0.99116,3.04,0.38,12.0,6
7.1,0.26,0.32,5.9,0.037,97.0,0.9934,3.31,0.4,12.0,6
6.8,0.34,0.27,5.2,0.06,169.0,0.99252,3.27,0.57,12.0,6
6.2,0.18,0.49,4.5,0.047,90.0,0.9919,3.27,0.37,12.0,6
6.5,0.28,0.29,2.7,0.038,107.0,0.9912,3.32,0.41,12.0,7
5.3,0.36,0.27,6.3,0.028,132.0,0.99186,3.37,0.4,12.0,6
5.3,0.36,0.27,6.3,0.028,132.0,0.99186,3.37,0.4,12.0,6
6.5,0.28,0.29,2.7,0.038,107.0,0.9912,3.32,0.41,12.0,7
6.3,0.26,0.29,2.2,0.043,175.0,0.9918,3.38,0.43,12.0,6
6.2,0.3,0.42,2.2,0.036,128.0,0.9901,3.13,0.38,12.0,6
7.6,0.24,0.44,3.8,0.037,146.0,0.9911,3.06,0.37,12.0,6
7.4,0.3,0.22,5.25,0.053,180.0,0.9926,3.13,0.45,12.0,6
7.0,0.34,0.26,10.3,0.041,166.0,0.99382,3.08,0.35,12.0,6
6.0,0.28,0.27,4.1,0.046,147.0,0.99126,3.27,0.56,12.0,6
6.1,0.19,0.25,4.0,0.023,112.0,0.9923,3.37,0.51,12.0,6
8.0,0.33,0.35,10.0,0.035,108.0,0.99457,3.12,0.36,12.0,6
6.7,0.24,0.29,6.8,0.038,127.0,0.9932,3.33,0.46,12.0,7
7.0,0.36,0.32,10.5,0.045,135.0,0.9935,3.09,0.33,12.0,8
7.4,0.3,0.22,5.25,0.053,180.0,0.9926,3.13,0.45,12.0,6
5.9,0.28,0.34,3.6,0.04,194.0,0.9912,3.31,0.52,12.0,6
6.3,0.37,0.28,6.3,0.034,152.0,0.9921,3.29,0.46,12.0,7
6.2,0.38,0.42,2.5,0.038,117.0,0.99132,3.36,0.59,12.0,7
8.2,0.2,0.38,3.5,0.053,174.0,0.99306,3.22,0.41,12.0,5
6.3,0.37,0.28,6.3,0.034,152.0,0.9921,3.29,0.46,12.0,7
7.0,0.2,0.34,2.1,0.049,136.0,0.9922,3.25,0.46,12.0,7
8.4,0.22,0.28,18.8,0.028,130.0,0.998,2.96,0.35,12.0,5
6.9,0.37,0.28,13.8,0.031,137.0,0.9948,3.1,0.37,12.0,6
5.1,0.35,0.26,6.8,0.034,120.0,0.99188,3.38,0.4,12.0,6
6.6,0.21,0.29,5.35,0.029,106.0,0.99112,2.93,0.43,12.0,7
8.2,0.2,0.49,3.5,0.057,108.0,0.9928,3.19,0.35,12.0,6
8.5,0.25,0.31,2.8,0.032,61.0,0.99189,3.06,0.44,12.0,6
5.1,0.35,0.26,6.8,0.034,120.0,0.99188,3.38,0.4,12.0,6
6.8,0.22,0.41,6.7,0.034,116.0,0.99245,3.18,0.46,12.0,6
5.6,0.21,0.24,4.4,0.027,150.0,0.991,3.3,0.31,12.0,7
8.9,0.3,0.35,4.6,0.032,148.0,0.99458,3.15,0.45,12.0,7
8.1,0.25,0.38,3.8,0.051,129.0,0.9928,3.21,0.38,12.0,6
6.7,0.39,0.24,2.7,0.017,80.0,0.99084,3.03,0.37,12.0,5
6.6,0.21,0.29,5.35,0.029,106.0,0.99112,2.93,0.43,12.0,7
6.8,0.21,0.37,7.0,0.038,107.0,0.99206,2.98,0.82,12.0,6
5.5,0.32,0.45,4.9,0.028,191.0,0.9922,3.51,0.49,12.0,7
7.2,0.29,0.4,7.6,0.024,177.0,0.9928,3.04,0.32,12.0,6
7.1,0.27,0.27,10.4,0.041,114.0,0.99335,3.04,0.52,12.0,7
6.9,0.25,0.35,9.2,0.034,150.0,0.9947,3.21,0.36,12.0,6
6.3,0.22,0.43,4.55,0.038,130.0,0.9918,3.35,0.33,12.0,7
7.8,0.29,0.29,3.15,0.044,117.0,0.99153,3.24,0.35,12.0,5
7.9,0.22,0.38,8.0,0.043,152.0,0.9934,3.12,0.32,12.0,7
7.1,0.27,0.27,10.4,0.041,114.0,0.99335,3.04,0.52,12.0,7
6.9,0.25,0.35,9.2,0.034,150.0,0.9947,3.21,0.36,12.0,6
7.0,0.22,0.28,10.6,0.039,117.0,0.99355,3.05,0.55,12.0,7
6.4,0.2,0.28,2.5,0.032,84.0,0.99168,3.31,0.55,12.0,5
7.2,0.29,0.4,7.6,0.024,177.0,0.9928,3.04,0.32,12.0,6
8.9,0.3,0.35,4.6,0.032,148.0,0.99458,3.15,0.45,12.0,7
8.3,0.23,0.43,3.2,0.035,101.0,0.9928,3.15,0.36,12.0,5
5.9,0.3,0.47,7.85,0.03,133.0,0.9933,3.52,0.43,12.0,7
7.3,0.13,0.31,2.3,0.054,104.0,0.9924,3.24,0.92,12.0,7
6.9,0.26,0.27,4.2,0.031,80.0,0.99089,3.12,0.39,12.0,6
6.9,0.26,0.27,4.2,0.031,80.0,0.99089,3.12,0.39,12.0,6
4.8,0.26,0.23,10.6,0.034,111.0,0.99274,3.46,0.28,12.0,7
6.1,0.36,0.27,2.1,0.035,100.0,0.9917,3.4,0.71,12.0,7
7.3,0.25,0.39,6.4,0.034,84.0,0.9942,3.18,0.46,12.0,5
7.4,0.25,0.28,7.25,0.028,78.0,0.99238,2.94,0.37,12.0,7
6.9,0.22,0.28,7.8,0.05,116.0,0.99326,3.22,0.6,12.0,8
6.8,0.38,0.29,9.9,0.037,146.0,0.99326,3.11,0.37,12.0,6
7.4,0.25,0.28,7.25,0.028,78.0,0.99238,2.94,0.37,12.0,7
6.9,0.19,0.49,6.6,0.036,172.0,0.9932,3.2,0.27,12.0,6
6.5,0.22,0.31,3.9,0.046,106.0,0.99098,3.15,0.31,12.0,5
5.5,0.15,0.32,14.0,0.031,99.0,0.99437,3.26,0.38,12.0,8
6.5,0.14,0.32,2.7,0.037,89.0,0.9924,3.4,0.74,12.0,7
6.9,0.19,0.49,6.6,0.036,172.0,0.9932,3.2,0.27,12.0,6
6.5,0.46,0.31,5.0,0.027,72.0,0.99165,3.26,0.6,12.0,7
7.8,0.23,0.28,4.75,0.042,166.0,0.9928,2.96,0.4,12.0,5
6.5,0.33,0.24,14.5,0.048,96.0,0.99456,3.06,0.3,12.0,8
7.0,0.2,0.34,5.7,0.035,83.0,0.9928,3.19,0.46,12.0,6
